Plot Title: PigeonPt_1.11.20_COHEN LAB,,,
#,"Date Time, GMT-08:00","Temp, °F (LGR S/N: 20572409, SEN S/N: 20572409)",End Of File (LGR S/N: 20572409)
1,1/12/2021 16:50,55.711,
2,1/12/2021 16:55,54.842,
3,1/12/2021 17:00,54.322,
4,1/12/2021 17:05,54.495,
5,1/12/2021 17:10,54.147,
6,1/12/2021 17:15,53.973,
7,1/12/2021 17:20,53.973,
8,1/12/2021 17:25,53.973,
9,1/12/2021 17:30,53.973,
10,1/12/2021 17:35,53.798,
11,1/12/2021 17:40,53.798,
12,1/12/2021 17:45,53.798,
13,1/12/2021 17:50,53.798,
14,1/12/2021 17:55,53.623,
15,1/12/2021 18:00,53.623,
16,1/12/2021 18:05,53.623,
17,1/12/2021 18:10,53.623,
18,1/12/2021 18:15,53.623,
19,1/12/2021 18:20,53.623,
20,1/12/2021 18:25,53.623,
21,1/12/2021 18:30,53.623,
22,1/12/2021 18:35,53.449,
23,1/12/2021 18:40,53.449,
24,1/12/2021 18:45,53.449,
25,1/12/2021 18:50,53.449,
26,1/12/2021 18:55,53.449,
27,1/12/2021 19:00,53.449,
28,1/12/2021 19:05,53.449,
29,1/12/2021 19:10,53.449,
30,1/12/2021 19:15,53.449,
31,1/12/2021 19:20,53.449,
32,1/12/2021 19:25,53.449,
33,1/12/2021 19:30,53.449,
34,1/12/2021 19:35,53.449,
35,1/12/2021 19:40,53.449,
36,1/12/2021 19:45,53.449,
37,1/12/2021 19:50,53.449,
38,1/12/2021 19:55,53.449,
39,1/12/2021 20:00,53.449,
40,1/12/2021 20:05,53.449,
41,1/12/2021 20:10,53.449,
42,1/12/2021 20:15,53.449,
43,1/12/2021 20:20,53.449,
44,1/12/2021 20:25,53.449,
45,1/12/2021 20:30,53.449,
46,1/12/2021 20:35,53.449,
47,1/12/2021 20:40,53.449,
48,1/12/2021 20:45,53.449,
49,1/12/2021 20:50,53.449,
50,1/12/2021 20:55,53.449,
51,1/12/2021 21:00,53.449,
52,1/12/2021 21:05,53.449,
53,1/12/2021 21:10,53.449,
54,1/12/2021 21:15,53.449,
55,1/12/2021 21:20,53.449,
56,1/12/2021 21:25,53.449,
57,1/12/2021 21:30,53.449,
58,1/12/2021 21:35,53.449,
59,1/12/2021 21:40,53.449,
60,1/12/2021 21:45,53.449,
61,1/12/2021 21:50,53.449,
62,1/12/2021 21:55,53.449,
63,1/12/2021 22:00,53.449,
64,1/12/2021 22:05,53.449,
65,1/12/2021 22:10,53.449,
66,1/12/2021 22:15,53.449,
67,1/12/2021 22:20,53.449,
68,1/12/2021 22:25,53.449,
69,1/12/2021 22:30,53.449,
70,1/12/2021 22:35,53.449,
71,1/12/2021 22:40,53.449,
72,1/12/2021 22:45,53.449,
73,1/12/2021 22:50,53.449,
74,1/12/2021 22:55,53.449,
75,1/12/2021 23:00,53.449,
76,1/12/2021 23:05,53.449,
77,1/12/2021 23:10,53.449,
78,1/12/2021 23:15,53.449,
79,1/12/2021 23:20,53.449,
80,1/12/2021 23:25,53.449,
81,1/12/2021 23:30,53.449,
82,1/12/2021 23:35,53.449,
83,1/12/2021 23:40,53.449,
84,1/12/2021 23:45,53.449,
85,1/12/2021 23:50,53.449,
86,1/12/2021 23:55,53.449,
87,1/13/2021 0:00,53.449,
88,1/13/2021 0:05,53.449,
89,1/13/2021 0:10,53.449,
90,1/13/2021 0:15,53.449,
91,1/13/2021 0:20,53.449,
