"Plot Title: Pigeon Point_1.13.21_south_COHEN LAB"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20897317, SEN S/N: 20897317)","End Of File (LGR S/N: 20897317)"
1,01/13/21 03:00:00 PM,68.248,
2,01/13/21 03:01:00 PM,68.248,
3,01/13/21 03:02:00 PM,68.248,
4,01/13/21 03:03:00 PM,68.421,
5,01/13/21 03:04:00 PM,68.421,
6,01/13/21 03:05:00 PM,68.421,
7,01/13/21 03:06:00 PM,68.421,
8,01/13/21 03:07:00 PM,68.592,
9,01/13/21 03:08:00 PM,68.592,
10,01/13/21 03:09:00 PM,68.592,
11,01/13/21 03:10:00 PM,68.592,
12,01/13/21 03:11:00 PM,68.763,
13,01/13/21 03:12:00 PM,68.763,
14,01/13/21 03:13:00 PM,68.763,
15,01/13/21 03:14:00 PM,68.763,
16,01/13/21 03:15:00 PM,68.592,
17,01/13/21 03:16:00 PM,68.421,
18,01/13/21 03:17:00 PM,68.077,
19,01/13/21 03:18:00 PM,67.906,
20,01/13/21 03:19:00 PM,67.564,
21,01/13/21 03:20:00 PM,67.221,
22,01/13/21 03:21:00 PM,67.050,
23,01/13/21 03:22:00 PM,66.879,
24,01/13/21 03:23:00 PM,66.708,
25,01/13/21 03:24:00 PM,66.708,
26,01/13/21 03:25:00 PM,66.708,
27,01/13/21 03:26:00 PM,66.708,
28,01/13/21 03:27:00 PM,66.537,
29,01/13/21 03:28:00 PM,66.708,
30,01/13/21 03:29:00 PM,66.537,
31,01/13/21 03:30:00 PM,66.193,
32,01/13/21 03:31:00 PM,66.022,
33,01/13/21 03:32:00 PM,65.680,
34,01/13/21 03:33:00 PM,65.509,
35,01/13/21 03:34:00 PM,65.167,
36,01/13/21 03:35:00 PM,64.996,
37,01/13/21 03:36:00 PM,64.825,
38,01/13/21 03:37:00 PM,64.996,
39,01/13/21 03:38:00 PM,64.996,
40,01/13/21 03:39:00 PM,64.825,
41,01/13/21 03:40:00 PM,64.825,
42,01/13/21 03:41:00 PM,65.338,
43,01/13/21 03:42:00 PM,64.996,
44,01/13/21 03:43:00 PM,65.167,
45,01/13/21 03:44:00 PM,65.509,
46,01/13/21 03:45:00 PM,65.509,
47,01/13/21 03:46:00 PM,65.680,
48,01/13/21 03:47:00 PM,65.680,
49,01/13/21 03:48:00 PM,65.680,
50,01/13/21 03:49:00 PM,65.680,
51,01/13/21 03:50:00 PM,65.680,
52,01/13/21 03:51:00 PM,65.509,
53,01/13/21 03:52:00 PM,65.851,
54,01/13/21 03:53:00 PM,66.366,
55,01/13/21 03:54:00 PM,66.879,
56,01/13/21 03:55:00 PM,67.735,
57,01/13/21 03:56:00 PM,68.421,
58,01/13/21 03:57:00 PM,69.278,
59,01/13/21 03:58:00 PM,69.793,
60,01/13/21 03:59:00 PM,69.964,
61,01/13/21 04:00:00 PM,69.964,
62,01/13/21 04:01:00 PM,70.137,
63,01/13/21 04:02:00 PM,70.137,
64,01/13/21 04:03:00 PM,70.137,
65,01/13/21 04:04:00 PM,70.480,
66,01/13/21 04:05:00 PM,71.339,
67,01/13/21 04:06:00 PM,68.934,
68,01/13/21 04:07:00 PM,67.050,
69,01/13/21 04:08:00 PM,65.509,
70,01/13/21 04:09:00 PM,64.139,
71,01/13/21 04:10:00 PM,62.940,
72,01/13/21 04:11:00 PM,62.083,
73,01/13/21 04:12:00 PM,61.054,
74,01/13/21 04:13:00 PM,60.195,
75,01/13/21 04:14:00 PM,59.508,
76,01/13/21 04:15:00 PM,58.993,
77,01/13/21 04:16:00 PM,58.476,
78,01/13/21 04:17:00 PM,58.131,
79,01/13/21 04:18:00 PM,57.958,
80,01/13/21 04:19:00 PM,57.785,
81,01/13/21 04:20:00 PM,57.614,
82,01/13/21 04:21:00 PM,57.441,
83,01/13/21 04:22:00 PM,57.268,
84,01/13/21 04:23:00 PM,57.268,
85,01/13/21 04:24:00 PM,57.268,
86,01/13/21 04:25:00 PM,57.096,
87,01/13/21 04:26:00 PM,57.096,
88,01/13/21 04:27:00 PM,57.096,
89,01/13/21 04:28:00 PM,56.923,
90,01/13/21 04:29:00 PM,56.923,
91,01/13/21 04:30:00 PM,56.923,
92,01/13/21 04:31:00 PM,56.923,
93,01/13/21 04:32:00 PM,56.923,
94,01/13/21 04:33:00 PM,56.750,
95,01/13/21 04:34:00 PM,56.750,
96,01/13/21 04:35:00 PM,56.750,
97,01/13/21 04:36:00 PM,56.750,
98,01/13/21 04:37:00 PM,56.750,
99,01/13/21 04:38:00 PM,56.577,
100,01/13/21 04:39:00 PM,56.577,
101,01/13/21 04:40:00 PM,56.577,
102,01/13/21 04:41:00 PM,56.577,
103,01/13/21 04:42:00 PM,56.404,
104,01/13/21 04:43:00 PM,56.404,
105,01/13/21 04:44:00 PM,56.404,
106,01/13/21 04:45:00 PM,56.404,
107,01/13/21 04:46:00 PM,56.404,
108,01/13/21 04:47:00 PM,56.230,
109,01/13/21 04:48:00 PM,56.230,
110,01/13/21 04:49:00 PM,56.230,
111,01/13/21 04:50:00 PM,56.057,
112,01/13/21 04:51:00 PM,56.057,
113,01/13/21 04:52:00 PM,56.057,
114,01/13/21 04:53:00 PM,55.884,
115,01/13/21 04:54:00 PM,55.884,
116,01/13/21 04:55:00 PM,55.884,
117,01/13/21 04:56:00 PM,55.884,
118,01/13/21 04:57:00 PM,55.884,
119,01/13/21 04:58:00 PM,55.711,
120,01/13/21 04:59:00 PM,55.711,
121,01/13/21 05:00:00 PM,55.711,
122,01/13/21 05:01:00 PM,55.537,
123,01/13/21 05:02:00 PM,55.537,
124,01/13/21 05:03:00 PM,55.537,
125,01/13/21 05:04:00 PM,55.537,
126,01/13/21 05:05:00 PM,55.537,
127,01/13/21 05:06:00 PM,55.537,
128,01/13/21 05:07:00 PM,55.537,
129,01/13/21 05:08:00 PM,55.537,
130,01/13/21 05:09:00 PM,55.537,
131,01/13/21 05:10:00 PM,55.364,
132,01/13/21 05:11:00 PM,55.364,
133,01/13/21 05:12:00 PM,55.364,
134,01/13/21 05:13:00 PM,55.364,
135,01/13/21 05:14:00 PM,55.364,
136,01/13/21 05:15:00 PM,55.364,
137,01/13/21 05:16:00 PM,55.364,
138,01/13/21 05:17:00 PM,55.364,
139,01/13/21 05:18:00 PM,55.364,
140,01/13/21 05:19:00 PM,55.189,
141,01/13/21 05:20:00 PM,55.189,
142,01/13/21 05:21:00 PM,55.189,
143,01/13/21 05:22:00 PM,55.189,
144,01/13/21 05:23:00 PM,55.189,
145,01/13/21 05:24:00 PM,55.364,
146,01/13/21 05:25:00 PM,55.364,
147,01/13/21 05:26:00 PM,55.364,
148,01/13/21 05:27:00 PM,55.364,
149,01/13/21 05:28:00 PM,55.364,
150,01/13/21 05:29:00 PM,55.364,
151,01/13/21 05:30:00 PM,55.364,
152,01/13/21 05:31:00 PM,55.364,
153,01/13/21 05:32:00 PM,55.364,
154,01/13/21 05:33:00 PM,55.364,
